city,streetAddress,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,yearBuilt,latestPrice,numPriceChanges,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,avgSchoolRating,numOfBathrooms,numOfBedrooms,numOfStories,numOfSchools,predicted_prices_nn
pflugerville,14424 Lake Victor Dr,78660,30.43063164,-97.66307831,1.98,2,True,True,True,False,False,Single Family,2012,305000,5,0,5,2,1,3,0,1,0,6011.0,2601,2.666666667,3.0,4,2,3,427535.16
pflugerville,1104 Strickling Dr,78660,30.4326725,-97.66169739,1.98,2,True,True,True,False,False,Single Family,2013,295000,1,0,1,2,0,0,0,0,0,6185.0,1768,2.666666667,2.0,4,1,3,267053.34
pflugerville,1408 Fort Dessau Rd,78660,30.40974808,-97.63977051,1.98,0,True,False,True,False,False,Single Family,2018,256125,1,0,4,1,0,1,0,0,0,7840.0,1478,3.0,2.0,3,1,4,244038.78
pflugerville,1025 Strickling Dr,78660,30.43211174,-97.66165924,1.98,2,True,True,True,False,False,Single Family,2013,240000,4,0,0,2,0,0,0,0,0,6098.0,1678,2.666666667,2.0,3,1,3,251897.45
pflugerville,15005 Donna Jane Loop,78660,30.43736839,-97.65686035,1.98,0,True,False,True,False,False,Single Family,2002,239900,3,0,0,1,0,0,0,0,0,6708.0,2132,4.0,3.0,3,2,3,437693.03
pflugerville,14908 Spring Hill Ln,78660,30.43777466,-97.65618134,1.98,2,True,True,True,False,False,Single Family,2020,309045,2,0,3,1,2,2,0,0,0,5161.0,1446,4.0,2.0,3,1,3,323635.53
pflugerville,14009 Cantata Ln,78660,30.4146843,-97.64339447,1.98,0,False,False,False,False,False,Single Family,2016,315000,2,0,3,1,0,0,0,0,0,12196.8,2432,3.666666667,3.0,4,2,3,399725.2
pflugerville,15009 Drusillas Dr,78660,30.43940353,-97.65803528,1.98,0,True,False,True,False,False,Single Family,2002,219900,2,0,3,1,0,0,0,0,0,5140.0,1422,4.0,3.0,3,2,3,304667.28
pflugerville,1104 Traci Michelle Dr,78660,30.43909645,-97.65795898,1.98,0,True,False,True,False,False,Single Family,2002,225000,1,0,2,1,1,1,0,0,0,3811.0,1870,4.0,2.0,3,2,3,333911.25
del valle,6808 Plains Crest Dr,78617,30.16070175,-97.63812256,1.98,2,True,True,True,False,False,Single Family,2013,194800,1,0,3,2,0,0,0,0,0,5183.0,1422,3.0,3.0,3,2,3,275570.3
