city,streetAddress,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,yearBuilt,latestPrice,numPriceChanges,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,avgSchoolRating,numOfBathrooms,numOfBedrooms,numOfStories,numOfSchools,predicted_price_lr,difference_lr,percent_change_lr,predict_price_nn,difference_nn,percent_change_nn
pflugerville,14424 Lake Victor Dr,78660,30.43063164,-97.66307831,1.98,2,True,True,True,False,False,Single Family,2012,305000,5,0,5,2,1,3,0,1,0,6011.0,2601,2.666666667,3.0,4,2,3,526068.3487145987,-221068.34871459872,-72.48,385452.75,-80452.75,-26.38
pflugerville,1104 Strickling Dr,78660,30.4326725,-97.66169739,1.98,2,True,True,True,False,False,Single Family,2013,295000,1,0,1,2,0,0,0,0,0,6185.0,1768,2.666666667,2.0,4,1,3,330966.13214327424,-35966.13214327418,-12.19,217348.36,77651.640625,26.32
pflugerville,1408 Fort Dessau Rd,78660,30.40974808,-97.63977051,1.98,0,True,False,True,False,False,Single Family,2018,256125,1,0,4,1,0,1,0,0,0,7840.0,1478,3.0,2.0,3,1,4,350716.344192134,-94591.34419213398,-36.93,253934.52,2190.484375,0.86
pflugerville,1025 Strickling Dr,78660,30.43211174,-97.66165924,1.98,2,True,True,True,False,False,Single Family,2013,240000,4,0,0,2,0,0,0,0,0,6098.0,1678,2.666666667,2.0,3,1,3,412612.9917864881,-172612.9917864881,-71.92,194259.16,45740.84375,19.06
pflugerville,15005 Donna Jane Loop,78660,30.43736839,-97.65686035,1.98,0,True,False,True,False,False,Single Family,2002,239900,3,0,0,1,0,0,0,0,0,6708.0,2132,4.0,3.0,3,2,3,501191.9398564596,-261291.93985645962,-108.92,306907.94,-67007.9375,-27.93
pflugerville,14908 Spring Hill Ln,78660,30.43777466,-97.65618134,1.98,2,True,True,True,False,False,Single Family,2020,309045,2,0,3,1,2,2,0,0,0,5161.0,1446,4.0,2.0,3,1,3,352436.8569565455,-43391.856956545496,-14.04,331371.72,-22326.71875,-7.22
pflugerville,14009 Cantata Ln,78660,30.4146843,-97.64339447,1.98,0,False,False,False,False,False,Single Family,2016,315000,2,0,3,1,0,0,0,0,0,12196.8,2432,3.666666667,3.0,4,2,3,476292.5727813614,-161292.5727813614,-51.2,409453.75,-94453.75,-29.99
pflugerville,15009 Drusillas Dr,78660,30.43940353,-97.65803528,1.98,0,True,False,True,False,False,Single Family,2002,219900,2,0,3,1,0,0,0,0,0,5140.0,1422,4.0,3.0,3,2,3,319023.2629407614,-99123.2629407614,-45.08,203277.4,16622.59375,7.56
pflugerville,1104 Traci Michelle Dr,78660,30.43909645,-97.65795898,1.98,0,True,False,True,False,False,Single Family,2002,225000,1,0,2,1,1,1,0,0,0,3811.0,1870,4.0,2.0,3,2,3,339305.7962165887,-114305.79621658869,-50.8,282014.8,-57014.8125,-25.34
del valle,6808 Plains Crest Dr,78617,30.16070175,-97.63812256,1.98,2,True,True,True,False,False,Single Family,2013,194800,1,0,3,2,0,0,0,0,0,5183.0,1422,3.0,3.0,3,2,3,329280.83813727763,-134480.83813727766,-69.04,224241.61,-29441.609375,-15.11
