predicted_price_lr,difference_lr,percent_change_lr
524864.2975737494,-219864.29757374944,-72.09
331171.3750386117,-36171.3750386117,-12.26
350538.7989136018,-94413.79891360179,-36.86
413535.14758624416,-173535.14758624416,-72.31
500544.42128061363,-260644.42128061363,-108.65
351423.4364676899,-42378.43646768993,-13.71
475501.70650067856,-160501.70650067856,-50.95
315181.08011113293,-95281.08011113293,-43.33
340296.30201255484,-115296.30201255484,-51.24
325259.3470576131,-130459.34705761308,-66.97
385640.72854063567,-105740.72854063567,-37.78
539386.7741716276,-289386.7741716276,-115.75
343893.34096894716,-103993.34096894716,-43.35
311604.4495881796,-111604.44958817959,-55.8
385468.3559193653,-253789.3559193653,-192.73
295328.4673527116,-95328.4673527116,-47.66
327124.04227133933,-115124.04227133933,-54.3
1003352.5751920218,-315502.5751920218,-45.87
498235.5965706331,-89235.59657063312,-21.82
459624.06687050685,-260624.06687050685,-130.97
353637.2972678584,46362.702732141595,11.59
795268.7997081606,-96268.79970816057,-13.77
748925.3297380307,-199025.32973803068,-36.19
39542.585869589355,310457.41413041065,88.7
466940.1688134512,-226940.1688134512,-94.56
518107.71266079205,-268207.71266079205,-107.33
239895.9426782811,160104.0573217189,40.03
406805.93882998405,-206805.93882998405,-103.4
841447.1548761673,33552.845123832696,3.83
590093.0862108488,-425098.08621084876,-257.64
402051.7548133773,-114551.75481337728,-39.84
653679.4550129352,-3679.4550129352137,-0.57
330619.5202994845,-134619.5202994845,-68.68
477095.78183529666,-237096.78183529666,-98.79
950892.5733342726,-120892.5733342726,-14.57
474447.5287317885,-254457.5287317885,-115.67
305857.26793170767,-110857.26793170767,-56.85
1909898.0136860276,2340101.9863139726,55.06
451904.3975549578,-141905.39755495777,-45.78
495227.13082727,-68227.13082726998,-15.98
495585.2704491881,-290585.2704491881,-141.75
499810.6060491558,-199810.60604915582,-66.6
321939.56148426584,22660.43851573416,6.58
2054494.922008092,1340505.077991908,39.48
749782.7004972221,-349882.70049722213,-87.49
588536.839147497,59463.16085250303,9.18
336164.03053406114,-149664.03053406114,-80.25
305452.05168555677,-86452.05168555677,-39.48
277122.69956263807,-97222.69956263807,-54.04
330367.78249612777,74632.21750387223,18.43
2641002.548834987,308997.451165013,10.47
550744.4837543841,14255.516245615901,2.52
303732.70328570344,-109634.70328570344,-56.48
514032.416354734,-258332.41635473398,-101.03
551999.2646305864,-56999.264630586375,-11.52
387278.16934164986,-62278.16934164986,-19.16
585459.4076312259,-335459.4076312259,-134.18
354866.42007851764,-156366.42007851764,-78.77
640010.2537029719,-155010.25370297185,-31.96
2488566.070476273,3006433.929523727,54.71
224770.78849115362,215229.21150884638,48.92
336215.08681345545,-111215.08681345545,-49.43
493320.5497642688,-285420.5497642688,-137.29
507973.0005422686,67026.99945773138,11.66
358839.21417035116,-158839.21417035116,-79.42
722633.9952409007,-47633.995240900666,-7.06
943620.8981763661,31379.101823633886,3.22
125974.23933340097,133025.76066659903,51.36
343668.96603638073,-68668.96603638073,-24.97
313906.143558952,-113907.14355895203,-56.95
369927.4896192737,-101198.48961927369,-37.66
569495.0443921299,55504.95560787013,8.88
670958.5910286973,-235958.59102869732,-54.24
459014.0790462177,-174014.07904621772,-61.06
459402.3224312891,-59502.322431289125,-14.88
323056.1869095247,-108056.18690952472,-50.26
734427.1209211326,-214927.12092113262,-41.37
434090.55135636684,15909.448643633164,3.54
651342.2845842494,-187642.28458424937,-40.47
345917.5822896389,-136017.58228963893,-64.8
412789.539104945,-37789.539104945026,-10.08
352780.6195052075,-122880.61950520752,-53.45
943972.7122095824,-394072.71220958245,-71.66
612735.4030759232,77264.59692407679,11.2
618423.5745185879,-33523.574518587906,-5.73
458883.96668047644,-171383.96668047644,-59.61
562729.9614845873,37070.038515412714,6.18
377967.5447767284,-52967.54477672838,-16.3
227384.93887163466,122615.06112836534,35.03
800614.6676899884,-225714.6676899884,-39.26
444167.61796385655,-70167.61796385655,-18.76
732724.5742688491,-32824.5742688491,-4.69
285251.80249823676,-80251.80249823676,-39.15
600968.0947201913,-175968.09472019132,-41.4
374460.4394551306,50539.5605448694,11.89
555167.3962599977,128832.60374000226,18.84
183846.90882867365,176118.09117132635,48.93
315182.19624381,-195182.19624381,-162.65
324431.79516044725,-99431.79516044725,-44.19
603716.5922834137,-214726.59228341375,-55.2
488018.20093387295,-53018.200933872955,-12.19
638419.187164628,156580.81283537205,19.7
371920.60256515676,-153120.60256515676,-69.98
288082.92712380877,-88082.92712380877,-44.04
451369.20588773955,-82869.20588773955,-22.49
733945.5743815831,-279445.57438158314,-61.48
