predicted_price_lr,difference_lr,percent_change_lr
526068.3487145987,-221068.3487145987,-72.48
330966.1321432742,-35966.13214327418,-12.19
350716.344192134,-94591.34419213398,-36.93
412612.9917864881,-172612.9917864881,-71.92
501191.9398564596,-261291.93985645962,-108.92
352436.8569565455,-43391.856956545496,-14.04
476292.5727813614,-161292.5727813614,-51.2
319023.2629407614,-99123.2629407614,-45.08
339305.7962165887,-114305.7962165887,-50.8
329280.83813727763,-134480.83813727763,-69.04
386492.776137999,-106592.77613799903,-38.08
539420.5613583864,-289420.5613583864,-115.77
344787.7174097097,-104887.7174097097,-43.72
312041.7142927393,-112041.71429273929,-56.02
388740.6129309463,-257061.61293094628,-195.22
296829.62744358345,-96829.62744358345,-48.41
326863.48907049256,-114863.48907049256,-54.18
1005639.5472497852,-317789.54724978516,-46.2
501083.0801024812,-92083.08010248118,-22.51
458884.61646905704,-259884.61646905704,-130.6
350395.31163434987,49604.68836565013,12.4
792385.6035929855,-93385.60359298554,-13.36
751763.0329453179,-201863.03294531791,-36.71
53449.23782339669,296550.7621766033,84.73
470002.6524495997,-230002.6524495997,-95.83
516801.7971432174,-266901.7971432174,-106.8
241476.04871606198,158523.95128393802,39.63
405943.1870955073,-205943.18709550728,-102.97
841946.059768738,33053.94023126201,3.78
584433.7241080694,-419438.72410806944,-254.21
401323.74265815667,-113823.74265815667,-39.59
654722.8183306025,-4722.818330602488,-0.73
330770.87522235676,-134770.87522235676,-68.76
451127.4448155097,-211128.44481550972,-87.97
953882.1080678545,-123882.10806785454,-14.93
475978.7799251403,-255988.77992514032,-116.36
306396.98132566805,-111396.98132566805,-57.13
1905675.824035764,2344324.1759642363,55.16
453720.4714201449,-143721.4714201449,-46.36
496377.0180356314,-69377.0180356314,-16.25
497148.27451998764,-292148.27451998764,-142.51
500248.77101457235,-200248.77101457235,-66.75
323989.354887035,20610.645112965023,5.98
2054206.2384277678,1340793.7615722322,39.49
749652.7299430484,-349752.72994304844,-87.46
590575.0053846056,57424.99461539439,8.86
336160.18679411546,-149660.18679411546,-80.25
306834.9228347542,-87834.92283475422,-40.11
278173.3429704115,-98273.34297041153,-54.63
328003.6048989848,76996.39510101522,19.01
2623889.598293809,326110.4017061908,11.05
525944.9637825924,39055.036217407556,6.91
304343.66578265536,-110245.66578265536,-56.8
513961.3567063913,-258261.35670639132,-101.0
550343.0591877031,-55343.05918770307,-11.18
389964.635386138,-64964.63538613799,-19.99
579362.2881950701,-329362.2881950701,-131.74
356008.2395703306,-157508.2395703306,-79.35
640412.0661162289,-155412.06611622893,-32.04
2481297.4728439646,3013702.5271560354,54.84
227038.31448491593,212961.68551508407,48.4
336161.19579622126,-111161.19579622126,-49.4
492373.8569548249,-284473.8569548249,-136.83
507015.8657119379,67984.13428806211,11.82
362316.73651026073,-162316.73651026073,-81.16
724774.1757460323,-49774.17574603227,-7.37
940969.475333062,34030.524666938,3.49
127420.80388429598,131579.19611570402,50.8
343599.5700967584,-68599.57009675843,-24.95
314349.9464541769,-114350.94645417691,-57.18
370208.8963803926,-101479.8963803926,-37.76
566553.1882220826,58446.811777917435,9.35
668669.159911521,-233669.159911521,-53.72
460396.0359208819,-175396.0359208819,-61.54
458087.157458775,-58187.15745877498,-14.55
323330.33782873186,-108330.33782873186,-50.39
736890.908174345,-217390.90817434504,-41.85
435195.88201104593,14804.117988954065,3.29
648667.5179724128,-184967.51797241275,-39.89
346159.9286996352,-136259.9286996352,-64.92
422284.8906964001,-47284.89069640008,-12.61
356095.95181930973,-126195.95181930973,-54.89
942837.3918594248,-392937.39185942477,-71.46
610694.9660765554,79305.03392344457,11.49
617605.7491795507,-32705.74917955068,-5.59
460654.81301842513,-173154.81301842513,-60.23
562710.2777349993,37089.72226500069,6.18
380032.28872001613,-55032.288720016135,-16.93
230554.676871232,119445.32312876801,34.13
800221.4675688071,-225321.46756880707,-39.19
445453.43348580715,-71453.43348580715,-19.11
730061.9206361144,-30161.92063611443,-4.31
286127.8935948482,-81127.89359484822,-39.57
601121.4918399707,-176121.4918399707,-41.44
374763.56749636936,50236.43250363064,11.82
556193.879466336,127806.12053366401,18.69
188386.8887852847,171578.1112147153,47.67
314809.1721622513,-194809.1721622513,-162.34
324614.603810393,-99614.60381039302,-44.27
603371.4868526219,-214381.4868526219,-55.11
486166.25830706186,-51166.25830706186,-11.76
640387.8691696578,154612.13083034218,19.45
372068.5991817161,-153268.5991817161,-70.05
292784.6511857782,-92784.6511857782,-46.39
448739.77425763966,-80239.77425763966,-21.77
734617.1801778565,-280117.18017785647,-61.63
441284.08104260615,-156284.08104260615,-54.84
1305143.5459135245,-506143.54591352446,-63.35
297158.7897602401,-98158.78976024012,-49.33
617919.6324664189,4880.3675335810985,0.78
721966.2807670676,-292966.28076706757,-68.29
614344.2707396068,-354444.2707396068,-136.38
490504.3840331731,138495.6159668269,22.02
489424.08777767816,35575.912222321844,6.78
791553.5080477644,-446553.5080477644,-129.44
402793.9533496171,-147793.95334961708,-57.96
349724.0441382814,-67498.04413828137,-23.92
322298.8812543957,-142298.8812543957,-79.05
280481.6231270286,-95581.62312702858,-51.69
808481.0191909343,-58481.019190934254,-7.8
685796.7049520945,-210796.70495209447,-44.38
328983.89221386635,-109983.89221386635,-50.22
735957.1157485729,-442657.11574857286,-150.92
393431.01125922124,-163432.01125922124,-71.06
639351.759259233,-224351.75925923302,-54.06
319475.7940156658,-144475.79401566577,-82.56
507815.2017482759,-108915.2017482759,-27.3
610980.9044703452,-221080.90447034524,-56.7
532417.4806922602,3752.5193077398,0.7
999010.3946429421,-334010.3946429421,-50.23
274268.44909442007,-94368.44909442007,-52.46
568728.3261593955,-48828.32615939551,-9.39
527561.9051925719,-186507.90519257192,-54.69
625369.5263660222,-197369.52636602218,-46.11
306100.30215632333,-121100.30215632333,-65.46
481622.8350265685,-66622.8350265685,-16.05
501762.4602029228,-201862.4602029228,-67.31
379831.92020009994,-129931.92020009994,-51.99
868621.0760020048,-143621.0760020048,-19.81
303042.14970034105,-105042.14970034105,-53.05
619435.288580314,-69435.28858031402,-12.62
356689.76619720436,-176789.76619720436,-98.27
393443.69529828033,-38443.695298280334,-10.83
402294.1471231121,-92294.14712311211,-29.77
333850.32058990165,-178850.32058990165,-115.39
439612.98240276077,-250612.98240276077,-132.6
1117911.2482098867,-92911.24820988672,-9.06
519278.99242621777,-179378.99242621777,-52.77
659711.2547106494,-144711.25471064937,-28.1
474071.2142085589,150928.7857914411,24.15
341159.7873872279,-1259.7873872278724,-0.37
421266.657677077,228733.342322923,35.19
322781.0733930117,-152781.0733930117,-89.87
1223276.4406277707,-463376.44062777073,-60.98
317167.53758080374,-102667.53758080374,-47.86
464701.88309084787,-189701.88309084787,-68.98
1055734.5352016885,-467734.53520168853,-79.55
418178.63314724783,-243278.63314724783,-139.1
906568.4262261076,30431.573773892364,3.25
393453.2212082988,201546.7787917012,33.87
379631.16716707894,-209731.16716707894,-123.44
748558.4806951906,-123558.4806951906,-19.77
363357.81614029105,-128357.81614029105,-54.62
516787.66310551553,-156887.66310551553,-43.59
610180.471238943,-260180.47123894305,-74.34
493898.2283534899,-44898.22835348989,-10.0
1331486.7135750377,467513.28642496234,25.99
1261535.0417778448,237464.95822215523,15.84
698069.7281099388,-272169.7281099388,-63.9
849034.6697783596,-254034.6697783596,-42.69
702169.4195827458,-77169.41958274576,-12.35
673756.9974749556,55243.00252504437,7.58
899255.6567393236,93744.34326067637,9.44
325326.36678966344,-126326.36678966344,-63.48
653459.7453873635,-287469.7453873635,-78.55
153374.71106227976,86625.28893772024,36.09
270610.0162814397,-50610.01628143969,-23.0
418958.5046805765,-153958.5046805765,-58.1
695532.8542484485,-250532.8542484485,-56.3
455244.3592587288,-140244.3592587288,-44.52
385162.8390939755,-290162.8390939755,-305.43
291511.6130641445,-111611.6130641445,-62.04
649696.2429569813,85303.7570430187,11.61
365545.4611379283,64354.5388620717,14.97
2940550.3121276246,1159449.6878723754,28.28
274578.5174186665,-207678.5174186665,-310.43
480279.251246786,-95279.25124678598,-24.75
386702.76589517784,-191702.76589517784,-98.31
1342310.5588757193,-117310.55887571932,-9.58
253028.4046782467,-58128.404678246705,-29.82
603404.1788086991,-143414.17880869913,-31.18
320758.5456666651,-90858.54566666507,-39.52
