predict_price_nn,difference_nn,percent_change_nn
381761.78,-76761.78125,-25.17
216890.97,78109.03125,26.48
226313.48,29811.515625,11.64
180654.77,59345.234375,24.73
310163.25,-70263.25,-29.29
326477.03,-17432.03125,-5.64
420470.75,-105470.75,-33.48
193935.47,25964.53125,11.81
260559.81,-35559.8125,-15.8
219874.78,-25074.78125,-12.87
300652.7,-20752.6875,-7.41
452593.12,-202593.125,-81.04
260877.31,-20977.3125,-8.74
209866.05,-9866.046875,-4.93
265160.38,-133481.375,-101.37
240923.36,-40923.359375,-20.46
243672.73,-31672.734375,-14.94
702009.0,-14159.0,-2.06
448931.56,-39931.5625,-9.76
274271.5,-75271.5,-37.82
361983.3,38016.6875,9.5
677103.9,21896.125,3.13
585661.5,-35761.5,-6.5
210664.27,139335.734375,39.81
388863.22,-148863.21875,-62.03
554871.25,-304971.25,-122.04
395696.5,4303.5,1.08
329788.06,-129788.0625,-64.89
854978.1,20021.875,2.29
349742.5,-184747.5,-111.97
276094.97,11405.03125,3.97
549331.4,100668.625,15.49
266707.78,-70707.78125,-36.08
140323.75,99675.25,41.53
835165.8,-5165.8125,-0.62
388584.38,-168594.375,-76.64
195176.11,-176.109375,-0.09
2029968.5,2220031.5,52.24
288555.78,21443.21875,6.92
535433.6,-108433.625,-25.39
454757.12,-249757.125,-121.83
292607.62,7392.375,2.46
367711.53,-23111.53125,-6.71
2153665.8,1241334.25,36.56
497910.34,-98010.34375,-24.51
514143.72,133856.28125,20.66
212685.81,-26185.8125,-14.04
269218.88,-50218.875,-22.93
202067.61,-22167.609375,-12.32
489941.3,-84941.3125,-20.97
3307685.5,-357685.5,-12.12
335642.16,229357.84375,40.59
195714.58,-1616.578125,-0.83
407309.47,-151609.46875,-59.29
628254.6,-133254.625,-26.92
288593.3,36406.6875,11.2
648736.2,-398736.1875,-159.49
342435.22,-143935.21875,-72.51
729337.9,-244337.875,-50.38
2791602.5,2703397.5,49.2
412172.88,27827.125,6.32
199058.08,25941.921875,11.53
365472.4,-157572.40625,-75.79
517468.38,57531.625,10.01
284642.66,-84642.65625,-42.32
632310.4,42689.625,6.32
895558.7,79441.3125,8.15
188469.47,70530.53125,27.23
271970.8,3029.1875,1.1
206918.0,-6919.0,-3.46
201845.5,66883.5,24.89
511866.62,113133.375,18.1
658566.4,-223566.375,-51.39
282939.16,2060.84375,0.72
432299.44,-32399.4375,-8.1
262264.47,-47264.46875,-21.98
600469.94,-80969.9375,-15.59
425526.0,24474.0,5.44
623432.06,-159732.0625,-34.45
273124.97,-63224.96875,-30.12
429708.6,-54708.59375,-14.59
336377.12,-106477.125,-46.31
826934.3,-277034.3125,-50.38
529560.44,160439.5625,23.25
557298.25,27601.75,4.72
324987.6,-37487.59375,-13.04
650314.2,-50514.1875,-8.42
299547.12,25452.875,7.83
322014.9,27985.09375,8.0
627189.06,-52289.0625,-9.1
407356.88,-33356.875,-8.92
691758.94,8141.0625,1.16
218262.4,-13262.40625,-6.47
521809.88,-96809.875,-22.78
455880.28,-30880.28125,-7.27
609588.4,74411.625,10.88
331255.2,28709.8125,7.98
296710.6,-176710.59375,-147.26
127311.34,97688.65625,43.42
378568.0,10422.0,2.68
576217.6,-141217.625,-32.46
497964.1,297035.90625,37.36
299057.16,-80257.15625,-36.68
311046.97,-111046.96875,-55.52
458315.62,-89815.625,-24.37
499988.66,-45488.65625,-10.01
