predict_price_nn,difference_nn,percent_change_nn
492215.7,-187215.6875,-61.38
285340.66,9659.34375,3.27
228567.08,27557.921875,10.76
257835.86,-17835.859375,-7.43
411257.6,-171357.59375,-71.43
257438.42,51606.578125,16.7
461106.5,-146106.5,-46.38
243038.44,-23138.4375,-10.52
345626.47,-120626.46875,-53.61
230413.95,-35613.953125,-18.28
282309.72,-2409.71875,-0.86
453448.84,-203448.84375,-81.38
256719.9,-16819.90625,-7.01
236763.86,-36763.859375,-18.38
282025.1,-150346.09375,-114.18
305301.4,-105301.40625,-52.65
235278.62,-23278.625,-10.98
730221.75,-42371.75,-6.16
451394.72,-42394.71875,-10.37
249929.16,-50929.15625,-25.59
385483.4,14516.59375,3.63
665763.56,33236.4375,4.75
615141.75,-65241.75,-11.86
146237.52,203762.484375,58.22
388907.6,-148907.59375,-62.04
366776.1,-116876.09375,-46.77
397779.62,2220.375,0.56
293588.44,-93588.4375,-46.79
1109628.6,-234628.625,-26.81
339087.1,-174092.09375,-105.51
277407.84,10092.15625,3.51
583923.7,66076.3125,10.17
211469.94,-15469.9375,-7.89
171918.44,68080.5625,28.37
1083692.4,-253692.375,-30.57
422005.4,-202015.40625,-91.83
210518.22,-15518.21875,-7.96
2143653.5,2106346.5,49.56
289305.47,20693.53125,6.68
539840.4,-112840.375,-26.43
412297.34,-207297.34375,-101.12
287733.66,12266.34375,4.09
343383.16,1216.84375,0.35
2796330.0,598670.0,17.63
513681.97,-113781.96875,-28.45
562165.2,85834.8125,13.25
234674.4,-48174.40625,-25.83
225275.08,-6275.078125,-2.87
214837.8,-34937.796875,-19.42
448565.6,-43565.59375,-10.76
3274348.8,-324348.75,-10.99
328707.84,236292.15625,41.82
192371.31,1726.6875,0.89
373395.72,-117695.71875,-46.03
677187.1,-182187.125,-36.81
264962.94,60037.0625,18.47
703411.1,-453411.125,-181.36
322082.72,-123582.71875,-62.26
773522.1,-288522.125,-59.49
2877646.5,2617353.5,47.63
409096.1,30903.90625,7.02
214312.05,10687.953125,4.75
377835.9,-169935.90625,-81.74
517131.16,57868.84375,10.06
321935.9,-121935.90625,-60.97
687258.9,-12258.875,-1.82
1102706.2,-127706.25,-13.1
268499.9,-9499.90625,-3.67
259224.97,15775.03125,5.74
240023.22,-40024.21875,-20.01
162446.98,106282.015625,39.55
575231.75,49768.25,7.96
674565.5,-239565.5,-55.07
284368.56,631.4375,0.22
453229.1,-53329.09375,-13.34
202858.97,12141.03125,5.65
838217.7,-318717.6875,-61.35
479465.97,-29465.96875,-6.55
702672.56,-238972.5625,-51.54
327899.53,-117999.53125,-56.22
340409.25,34590.75,9.22
361553.66,-131653.65625,-57.27
1083957.8,-534057.75,-97.12
557775.2,132224.8125,19.16
599412.75,-14512.75,-2.48
421623.66,-134123.65625,-46.65
601525.6,-1725.625,-0.29
280726.88,44273.125,13.62
308636.4,41363.59375,11.82
871905.25,-297005.25,-51.66
475927.22,-101927.21875,-27.25
655929.75,43970.25,6.28
167140.25,37859.75,18.47
649457.06,-224457.0625,-52.81
449658.72,-24658.71875,-5.8
543873.2,140126.8125,20.49
306438.1,53526.90625,14.87
356156.25,-236156.25,-196.8
181300.45,43699.546875,19.42
366861.66,22128.34375,5.69
481883.16,-46883.15625,-10.78
572853.56,222146.4375,27.94
254335.89,-35535.890625,-16.24
251381.52,-51381.515625,-25.69
476600.47,-108100.46875,-29.34
517316.03,-62816.03125,-13.82
341196.53,-56196.53125,-19.72
1419364.5,-620364.5,-77.64
189247.36,9752.640625,4.9
563526.6,59273.375,9.52
618385.44,-189385.4375,-44.15
410575.66,-150675.65625,-57.97
536855.7,92144.3125,14.65
467392.7,57607.3125,10.97
1065783.9,-720783.875,-208.92
282618.12,-27618.125,-10.83
270040.4,12185.59375,4.32
225134.39,-45134.390625,-25.07
199856.12,-14956.125,-8.09
661247.4,88752.625,11.83
793167.44,-318167.4375,-66.98
300916.62,-81916.625,-37.4
600626.2,-307326.1875,-104.78
